ID,CODIGO-BARRA,DESCRICAO,PRECO-CUSTO,PRECO-VENDA,CATEGORIA
191,7896066761879,MORANGUETE PEQUENO 9G,"R$ 0,00","R$ 0,75",CHOCOLATES
192,78934887,BOMBOM AMOR CARIOCA BRANCO 20G,"R$ 0,00","R$ 1,50",CHOCOLATES
193,78907188,BOMBOM AMOR CARIOCA 20G,"R$ 0,00","R$ 1,50",CHOCOLATES
194,,BOMBONS SORTIDOS NESTLÉ E GAROTO,"R$ 0,00","R$ 1,50",CHOCOLATES
195,7898953602036,DOCE PÉ DE MOÇA 51G,"R$ 0,00","R$ 2,00",PAÇOCA
196,,GELEIA DE MORANGO COM LARANJA,"R$ 0,00","R$ 2,00",MARIA MOLE
197,7898947980027,DOCE DE BANANINHA ZERO AÇÚCAR 30G,"R$ 1,40","R$ 2,80",BARRA DE CEREAL
198,7897900315678,BARRA DE CEREAL 0 AÇÚCAR TRIO BANANA E CHOCOLATE 18G,"R$ 0,00","R$ 3,45",BARRA DE CEREAL
199,7897900313070,BARRA DE CEREAL 0 AÇÚCAR TRIO MOUSSE DE CHOCOLATE 18G,"R$ 0,00","R$ 3,45",BARRA DE CEREAL
200,7896104865705,BARRA DE CEREAL 0 AÇÚCAR RITTER BRIGADEIRO 25G,"R$ 0,00","R$ 3,70",BARRA DE CEREAL
201,7896530722962,BARRINHA DE CHOCOLATE BRANCO ZERO AÇÚCAR LACIELLA 20G,,"R$ 2,90",CHOCOLATES
202,7896530722085,BARRINHA DE CHOCOLATE AO LEITE ZERO AÇÚCAR LACIELLA 20G,,"R$ 4,60",CHOCOLATES
203,7896530722986,BARRINHA DE CHOCOLATE 70% CACAU ZERO AÇÚCAR LACIELLA 20G,,"R$ 2,90",CHOCOLATES
204,7898947980010,DOCE DE BANANINHA CREMOSA 30G,,"R$ 1,70",MARIA MOLE
205,7898656685213,MÃMA LITO COM CRISTAIS EXPLOSIVOS 11G,,"R$ 3,00",PIRULITO
206,7898656685541,POPLITO AZE MÃMA COM PÓ AZEDINHO 11G,,"R$ 3,00",PIRULITO
207,7898405067789,PIRULITO SORVETINHO TOP FLASH,,"R$ 8,99",PIRULITO
208,7798040462881,PIRULITO JURASSIC WORLD SPRING POP 14G,,"R$ 4,50",PIRULITO
209,7898405064795,SLIME CAIXINHA DUO STILEKA 95G,,"R$ 5,90",OVO
210,7898405065235,OVO SURPRESA TATTOO MENINA 10G,,"R$ 4,90",OVO
211,7898405063941,OVO SURPRESA CARRINHOS TOY 10G,,"R$ 5,90",OVO
212,7898405063873,OVO SURPRESA DINOSSAUROS TOY 10G,,"R$ 5,90",OVO
213,,COPO DE CANUDO DO CAPITÃO AMÉRICA,,"R$ 14,90",COPOS
214,,COPO DE CANUDO AZUL DE POÁ,,"R$ 22,40",COPOS
215,,COPO COM CANUDO DE CAVEIRAS,,"R$ 11,90",COPOS
216,,COPO COM CANUDO DE SEREIA,,"R$ 24,90",COPOS
217,7899869500867,GARRAFA SQUEEZE AMARELO NEON 600ML,,"R$ 19,90",GARRAFAS/SQUEEZE
218,7898637113964,CANECA DE PROFISSÃO ODONTOLOGIA,,"R$ 18,90",CANECAS
219,7898637113940,CANECA DE PROFISSÃO MEDICINA VETERINÁRIA,,"R$ 18,90",CANECAS
220,,GARRAFA SQUEEZE DE BLOGUEIRA 300ML LILÁS E VERDE,,"R$ 17,90",GARRAFAS/SQUEEZE
221,7899768012232,CANECA P/CHOPP E CERVEJA DE VIDRO CAVEIRA ROSÉ GOLDEN 510ML,"R$ 0,00","R$ 39,90",CANECAS
222,7899768012249,"CANECA P/CHOPP E CERVEJA DE VIDRO, CAVEIRA DOURADO 510ML","R$ 0,00","R$ 39,90",CANECAS
223,7899725380612,BOLA MÁGICA,"R$ 0,00","R$ 22,90",BOLA MÁGICA
